message_type,source_ip_encoded,dest_ip_encoded,packet_size,timestamp_delta,sequence_number,flow_label,teid,qfi,priority,label
51,826,576,970.3825229225396,0.004999552507890129,61395,81588,72498,48,11,0
50,726,841,590.4185493211837,0.18561622729213031,3410,179614,92036,9,12,0
50,476,852,538.8448682456933,0.05763318590419014,49842,530201,40499,17,4,0
51,593,516,1967.2563662431635,0.020957550967752123,61721,636694,31284,18,10,1
50,222,513,709.7590063349213,0.07907078851523114,56415,113693,66170,6,11,0
3,989,21,1284.4930456733446,0.009579886618797856,54817,617737,72359,56,4,0
4,371,111,1099.1281266483602,0.14132403630308565,55919,10567,62458,18,13,0
51,934,56,922.3630347125965,0.08733152423216205,25746,562667,25969,23,9,0
4,994,65,1403.639146361768,0.010326005530273132,61272,730328,62509,14,1,1
52,401,841,379.8741319007697,0.020854094002161032,50105,262463,63221,40,11,0
1,442,97,1293.0486509254874,0.010182284525958717,63139,90005,85367,41,10,1
3,489,143,1225.1061238944878,0.005869152822031952,29456,897422,5739,22,10,0
5,614,879,1004.4018509556827,0.08862428486980284,38911,747386,3099,51,4,0
3,272,434,1269.4515091789847,0.0917379972422134,65140,479336,95425,51,14,1
51,525,636,1313.581158745109,0.001765311741583213,29167,4791,73634,3,11,0
5,158,678,1116.7316748026383,0.002512305037537511,62878,490488,78673,37,6,1
1,151,85,614.1332974934946,0.0850433416712856,28073,131401,38245,3,1,0
51,994,587,846.1495748234771,0.17120005978165095,48775,205459,8254,4,13,0
2,619,343,1029.9402104334788,0.039562204622885,12110,61032,54334,40,12,0
4,187,935,426.99265688628265,0.021509492969092533,61535,699438,50970,43,5,1
1,812,293,1328.190889570688,0.04535992180495252,60535,875094,90745,22,6,1
4,97,955,1043.1035046608931,0.032049854286752937,34623,545588,70424,39,4,0
50,130,570,719.1075124109417,0.0026968776316331805,44400,862132,44412,52,8,0
2,804,649,1132.0894298907924,0.13288881574772896,63833,1047168,75029,36,13,0
2,170,610,992.355998723321,0.09825638577462423,52384,444161,35422,60,3,0
1,935,703,1442.4149355533232,0.08693021873988661,2598,579897,1455,10,13,0
2,985,242,574.8191307256354,0.13535721366789988,40598,191634,17523,54,13,0
5,182,830,1573.81943272324,0.056232030921744114,60948,614333,38576,10,12,1
2,982,560,494.8028276607786,0.023052319928093482,3984,848333,3193,12,9,0
4,363,959,473.08509692547324,0.02173036073534379,64958,792135,55269,13,14,1
4,38,31,189.34074715463817,0.013480093149507733,39453,748005,81312,59,0,0
51,526,390,961.497206719078,0.013909772844464242,43152,325259,10403,7,13,0
4,887,276,1282.911561274846,0.056380805059332566,62642,1026457,78611,24,7,1
51,496,531,656.2846827914739,0.1956163282114705,17041,219162,80782,62,14,0
4,515,153,401.9230497226742,0.16448179480354014,63941,27676,36528,61,7,1
5,348,382,889.3260182375957,0.04948974860103847,61021,454926,52182,17,6,1
52,981,67,801.2279023026368,0.020346510251334674,30555,977581,91473,50,7,0
51,920,877,1037.9508100379294,0.011165846779993757,63833,907764,27003,43,1,0
3,396,883,795.0392749257123,0.1675850035864825,27917,744700,81220,43,2,0
50,721,213,875.6181028115834,0.08645441715821153,44872,700800,12461,17,8,0
1,160,654,687.1602857077593,0.09630810771759911,55992,167995,30483,9,0,0
4,15,375,1324.7672607581462,0.15207957726536278,26373,291946,16448,6,7,0
2,492,743,494.5251067015316,0.12149570028020225,61708,352475,48229,59,7,0
52,425,212,590.2285348144617,0.1798531867370704,39081,456120,83266,49,6,0
4,107,78,652.2925778019461,0.0057855733279929804,40707,977666,50127,43,12,0
2,893,725,962.8113193930171,0.13764257632959037,42723,124786,20546,13,13,0
50,449,627,488.3420630639358,0.1902821255098704,55329,851601,55115,14,10,0
50,310,603,840.7155771643996,0.03370614696265288,29049,592435,93741,15,4,0
50,738,781,849.4730430279672,0.10228944477442632,19670,546363,75351,1,3,0
2,169,922,591.692608779986,0.03771139238267266,9778,1034785,57802,29,9,0
4,545,380,898.9938382870571,0.31693970046019154,54712,868447,13891,29,9,0
50,413,679,497.65583037877064,0.0033994906828486745,36332,730076,52483,17,12,0
5,250,57,697.3166358922142,0.04335037301664973,60433,9304,63398,30,14,1
51,758,795,829.8817269564322,0.018212583240863996,20969,129851,1741,43,9,0
2,780,25,302.07332435658117,0.12455596926124357,53970,382873,30122,47,13,0
2,140,880,234.83878385239302,0.009672580337277715,61403,59622,11219,12,9,1
4,273,446,1439.7749853585601,0.013419028332078364,63511,316359,71592,19,5,1
2,415,65,1114.690982777351,0.06819517064981526,55335,997650,88242,48,11,0
2,607,920,659.9590643922412,0.24631641405374738,40795,860405,34723,49,10,0
50,738,759,599.5788043706689,0.023789478290788646,13924,632942,49432,34,0,0
4,890,253,1101.660567792368,0.01557653406618626,52397,405737,51544,22,12,0
50,38,898,684.507801900486,0.07114311083631174,62935,249109,42001,41,4,1
51,813,967,390.9882125836525,0.0694387013503127,27704,286172,71976,32,13,0
52,28,43,1518.4363906688193,0.12139897681780024,64878,563616,30922,37,3,1
51,957,96,802.7114559536922,0.015854396621277057,3630,289445,99266,34,3,0
52,476,553,1679.194532680607,0.051912734728272694,65083,300159,88748,50,6,1
50,317,226,157.92023636660622,0.026511092308046227,56517,742636,30615,35,8,0
51,244,773,379.79780266443106,0.017050417232899472,34446,561133,61190,60,7,0
4,747,678,804.299617953247,0.11502090453818122,64323,873250,17602,19,10,0
1,696,435,925.302109545136,0.09006256226776638,35863,600682,93333,54,12,0
50,271,790,1054.0991263068377,0.14057930647238664,25575,175231,71544,2,13,0
52,439,600,1278.66799596395,0.018514255492032863,64264,305858,20515,7,11,1
5,747,378,849.3965466075707,0.05941558868895468,22258,80722,83313,39,7,0
52,238,177,683.1795370909405,0.05199869211441636,35053,1017225,67613,58,4,0
5,376,426,1277.2714714713552,0.4140773745591833,37821,1014234,90887,31,5,0
2,265,914,469.0929633588506,0.034566288093877774,56215,287374,16293,28,1,0
51,925,708,1361.5590686501725,0.017464913668912497,64804,616842,31511,6,12,1
5,920,306,503.65734962359403,0.043780475595945625,17974,49262,28001,1,10,0
52,358,778,960.4335637415029,0.0831476536544919,25738,1007705,30384,20,13,0
2,339,503,488.8947291836701,0.029078387040876792,51673,41722,11786,5,2,0
1,388,267,1023.1447095501375,0.24685209167173447,63309,963863,40911,27,4,0
4,576,585,1250.4472260710327,0.015440897817890549,65060,849228,39029,47,1,1
4,989,7,1323.3917519776046,0.22615941357266683,53801,695519,24856,41,2,0
4,688,919,715.6941058185243,0.010922917109409775,22114,240740,24282,35,3,0
5,2,507,1391.2347523113954,0.05343753618595588,63333,1026179,4842,31,5,1
1,428,475,566.103115861787,0.23750000822335054,56960,611340,97205,44,4,0
5,141,296,713.6320980676117,0.018482401140114894,15589,100808,60156,41,9,0
51,375,163,1247.5872657499588,0.17261447181381306,61602,255416,26919,52,3,1
5,669,484,341.83402325858776,0.060309326421933186,64086,262128,56314,45,12,0
1,323,596,562.0692296168526,0.14567546654622104,60228,745569,17444,8,14,1
1,145,71,979.9577899506935,0.1129545970440356,48849,398455,32251,10,1,0
51,957,566,1134.2609303107442,0.017947223716893296,65280,770340,1923,22,11,1
1,292,904,933.1830601283901,0.010431378793646341,64522,878383,31977,49,10,1
52,664,558,578.9041458749733,0.03620250103771713,20068,313030,11992,10,4,0
1,431,910,590.4533612828918,0.009763202338712917,6705,889856,53745,48,4,0
4,704,943,833.7652145024686,0.015533066980890384,40137,420411,22734,1,10,0
52,948,237,933.5107592348569,0.011055223639892971,1972,104697,2474,2,6,0
52,974,103,172.36783111243278,0.05498151727917913,47362,488075,8109,10,0,0
51,584,209,1223.8502170309675,0.15875706349447,58848,231572,28716,49,3,0
3,398,553,1202.5102288825979,0.015243296918962812,40824,757130,32211,58,10,0
3,816,827,151.20535640389517,0.006981522458447777,64217,620587,37318,34,4,1
1,888,467,1125.7780088968393,0.10312217588937725,31477,690034,65517,57,7,0
52,343,453,1116.5656553993128,0.021962846393892857,53371,149177,33363,14,11,0
3,963,267,800.1336482562635,0.010270852209120489,14678,1027691,54605,42,14,0
3,139,385,410.8494134345371,0.01825398744702175,27819,160811,4890,10,11,0
1,186,774,1104.5684274995217,0.2573493904753673,1869,506957,89558,30,7,0
3,804,847,727.6306801107946,0.17230056418565404,18056,163041,73749,27,0,0
5,60,386,1446.9954797185303,0.02185278609600971,62196,538785,31972,61,4,1
2,996,876,2198.6405723828,0.0533296366042089,62899,395032,50552,27,9,1
51,938,258,875.5510251870857,0.07706238097116966,7633,778492,3202,31,0,0
2,379,282,524.9345924844315,0.1130487746446207,12044,905347,89883,24,0,0
1,709,625,699.2807015240835,0.11478166688708512,6404,257471,37959,19,1,0
4,806,874,563.1663919277037,0.0990836532714697,15733,92019,79252,27,1,0
51,439,39,930.0469152345568,0.03093843641791573,55245,714614,5682,24,14,0
1,318,485,558.1797323750586,0.0039787551369043165,18527,109017,46871,10,14,0
52,301,928,658.1445732951071,0.06080099924140658,9341,1005199,82257,18,8,0
4,343,219,414.6708876777201,0.22161678354565495,38953,855817,67204,27,3,0
2,10,128,760.373898344257,0.08428015870012388,22395,218220,28153,0,2,0
1,61,519,853.0264379906149,0.17861216418966364,33022,105153,50062,58,10,0
52,844,612,64.0,0.4782425751957566,4103,558114,57620,4,0,0
51,225,927,1316.8081026660993,0.008933384264307672,60110,634322,58236,9,11,1
51,152,891,1179.4348960064494,0.05884669028259934,61244,980869,73741,41,1,1
50,710,687,570.5024153731617,0.11217588361608691,56831,608530,37891,45,5,0
52,563,618,1408.5886772809617,0.390979785083581,65093,909498,90074,33,8,0
5,771,612,1087.5429582814263,0.4240578042643612,6213,574388,61402,35,4,0
3,570,259,471.0792541545796,0.11605258156366965,31825,745459,11218,1,3,0
4,583,989,1051.471063871342,0.027920449815609802,37406,911602,48352,17,12,0
52,659,965,1173.3494228063173,0.16022430483087757,65097,921863,33742,12,4,0
50,860,365,839.6062767852671,0.01132013237341953,11526,358349,20655,50,8,0
3,574,757,908.4326110841976,0.1517311450611339,28761,12809,61315,4,11,0
3,309,786,901.5040000764773,0.24101271436331909,55187,588738,1409,19,12,0
1,884,543,261.38286348452004,0.024130813342018137,64159,1048229,42904,1,6,1
3,242,648,743.9391209448802,0.09959707625687814,45269,300572,84209,62,7,0
5,492,523,728.3261474047914,0.05623693566980703,27458,1012494,1219,10,14,0
51,365,906,1229.0466909679635,0.05758354648251321,57610,859222,50573,61,3,0
50,329,813,900.1183590685619,0.03716013463532872,48016,111126,58799,29,10,0
3,106,886,710.7167113649915,0.14360293774129015,10533,352465,30106,31,7,0
1,225,15,772.9625777026966,0.27516348232681753,13519,788525,69635,31,5,0
5,824,128,1107.0156744882204,0.2826004000919495,6477,568786,65064,57,4,0
2,217,574,744.6246010264053,0.019210681854019723,52301,640539,7620,49,12,0
51,936,108,590.5413400725173,0.20773928389576507,19744,565273,11940,61,11,0
51,752,886,717.2893421237401,0.1337243055535121,1005,818441,18227,37,6,0
50,505,532,1082.2088431468046,0.02914724477772956,43055,999598,25323,54,5,0
51,258,669,948.8494716793809,0.006965517603524845,37486,390659,58216,27,2,0
3,887,268,813.2803920047342,0.031197103126328504,3272,17718,16879,9,4,0
1,773,161,857.4617898334491,0.2432787595743212,45483,278849,6561,21,8,0
51,516,259,632.0772579213553,0.10028804020557985,210,349762,38279,54,6,0
51,772,923,741.8151798672039,0.12767394335517257,25464,62598,36213,16,11,0
2,53,101,901.5130552014673,0.014863215194438418,62685,864310,94836,21,3,1
2,46,505,1067.3493220651153,0.06353914505692121,63801,274383,73080,42,6,1
4,726,734,1203.8534790879876,0.0028524488794425848,19978,833054,23947,18,4,0
5,688,570,714.9576848802645,0.023525895735232834,63867,570953,31741,16,10,1
3,520,246,593.3847000731255,0.09855158139154208,44385,818706,7254,23,12,0
51,98,639,635.5655116789117,0.007896858299565792,61377,928923,79312,35,14,1
52,19,794,358.7273728437205,0.17316257412276725,34053,894800,32814,31,1,0
51,889,836,743.9684257414126,0.026792035947221265,3149,146075,64332,57,12,0
1,752,536,614.7172454597641,0.10563609211055279,33537,686226,27633,55,5,0
4,572,130,1328.5066792376579,0.051952526039847936,58327,153060,48366,57,6,0
5,890,352,715.146036146662,0.09064483164417832,5608,449110,67594,45,7,0
52,489,195,1780.228588543511,0.005683668182306739,65004,894995,33432,58,5,1
4,418,792,1090.40194248219,0.0017057454652931803,29251,515340,37437,51,7,0
50,689,915,737.3137534327958,0.24031175865554866,60871,221516,18414,35,6,0
5,849,929,1433.0406746256867,0.03142040359331152,51940,661034,95762,27,1,0
51,61,665,880.5601959394426,0.17130056071587732,18595,725898,38486,13,13,0
51,144,381,1253.9027798011966,0.7339000566875333,58383,355247,68233,57,5,0
5,215,644,1218.9790674743792,0.023753569565479,7400,66446,16102,35,8,0
51,2,226,924.3943955314348,0.030811710768507625,55491,553360,8832,5,11,0
3,159,700,1025.3392543417551,0.10872563747276574,61277,33717,84584,61,5,0
5,738,475,987.2214245358427,0.3365308210030412,25118,218417,51898,8,3,0
4,997,476,456.7215705824876,0.24747307783204617,33127,157723,5005,20,6,0
5,780,264,817.1871063359049,0.06989148216013417,33618,379346,88242,11,2,0
52,119,371,1683.4112552750971,0.07926417040715163,61771,961795,45925,60,4,1
51,892,485,1257.8558952084986,0.014588840192740921,37291,384533,21510,57,0,0
3,88,433,583.8080984504151,0.3791496368180414,51697,109525,37171,29,14,0
3,328,645,958.649390543906,0.3334096852533761,64316,456566,43556,30,9,0
50,579,210,845.2610639832603,0.017880250537994094,45542,213092,14663,39,2,0
4,909,571,764.6377806255214,0.03558511759046725,50984,4646,65931,55,7,0
2,356,939,906.8007887675078,0.010553274994126225,50625,301857,47404,3,8,0
2,609,376,865.3992231998412,0.03170663924030789,9629,330080,36366,30,8,0
5,266,394,962.4222706617765,0.16925792753171912,330,175403,62189,26,14,0
50,616,449,1232.5150282850157,0.047532272203556325,38620,284329,76061,57,9,0
1,951,942,1035.23827725941,0.00925506546599754,7033,346407,98634,56,1,0
5,322,363,893.1773776618109,0.04188931492316493,48095,754016,26674,24,3,0
50,634,875,1359.3875170469237,0.39836980909056796,38035,576395,63472,4,4,0
4,987,456,1132.9788787641007,0.09933974908264566,37123,769153,17157,5,14,0
4,540,724,772.2804684189955,0.0538129927297913,55588,459770,57288,4,2,0
4,648,727,652.2958189411927,0.009108389240709778,60012,803995,1646,50,12,1
4,194,225,503.6507957238603,0.4281406742462024,20623,595017,59077,26,10,0
4,920,981,1079.9697344946903,0.17195263050378629,55265,277845,94586,7,0,0
50,737,130,610.9062562241056,0.0330557983775405,28585,200144,75352,8,5,0
50,331,587,497.58335686641556,0.007264456192996024,47851,965721,50152,14,13,0
3,169,475,572.5744019938402,0.005829199921078439,4723,962114,67385,35,14,0
52,520,797,593.78470637279,0.01282631792111805,17773,739782,99866,56,9,0
2,462,985,1055.1943003346753,0.08693322051155537,20570,495339,33542,40,1,0
51,39,276,752.9773772653172,0.26417488453732035,41680,776903,72848,6,8,0
4,536,155,388.2876199101783,0.06866551554436495,3236,967635,87100,31,0,0
1,260,759,809.313469328707,0.18511622884076662,4577,652619,80740,7,10,0
51,394,217,866.6798397344726,0.05903859558815344,26708,684770,50956,46,8,0
50,954,189,984.2984123516167,0.06165009603393448,65272,99280,9291,50,6,1
1,225,416,1146.76552525781,0.13162935503107584,41633,714075,58943,14,10,0
1,983,980,1010.5775014384719,0.009555828342106923,64334,1034472,82668,36,12,1
1,123,674,1698.7519589867175,0.022409450112157187,63261,38665,30144,18,9,1
3,974,691,1468.5522508537392,0.050709258925046574,60662,278101,24510,38,1,1
50,37,545,1616.9724786199831,0.0036660007282356176,65205,965631,87781,5,13,1
1,327,40,470.4347477580815,0.044869654638775236,20055,981093,36742,58,5,0
4,250,306,829.4930576714307,0.07652867110493616,17166,832440,26899,18,7,0
5,900,942,784.1515986275692,0.5579220612486674,14440,848352,99920,56,14,0
1,175,337,373.3980425277401,0.06434689586827806,52676,783573,85675,27,1,0
3,601,313,1697.2773284113093,0.08465640157676818,63092,688235,62949,16,14,1
51,913,74,832.1695963916926,0.028287616345110407,60693,113828,61769,41,4,1
50,453,952,617.1296513492051,0.15915524286430596,26963,910284,43263,18,12,0
52,36,278,496.00524932068225,0.09048929382595186,53935,656986,5507,62,11,0
3,315,175,1010.355897821112,0.217679369010487,42550,90815,20606,62,10,0
1,687,895,342.2210843682213,0.052923156587636244,37764,194894,78591,30,5,0
50,972,661,985.3624401393704,0.09271101002803288,50654,989269,28232,10,2,0
5,795,272,1113.3541958730382,0.09943027627774298,44755,727773,79398,14,13,0
1,964,836,1441.7302924315923,0.02701125777246215,63390,164714,77124,9,11,1
3,972,619,1013.7885451539287,0.015584950631825148,45279,824743,13516,42,1,0
2,592,650,1541.7959113101192,0.004911489265562233,61181,32356,87212,22,14,1
4,113,861,515.1727019822708,0.0016812085040206677,42037,265953,38623,2,10,0
52,39,782,1845.6307408489547,0.10338919355516335,63018,960875,16601,61,5,1
51,300,858,661.9771237599505,0.02698092959748756,30414,821307,27893,2,2,0
3,223,930,1170.1255720845124,0.011881571613140782,61504,765409,83280,17,1,1
50,317,288,700.2088044947122,0.13319402773500025,42300,271609,69311,24,14,0
52,348,723,947.4626362631927,0.03856861768094852,20270,721455,21802,42,0,0
52,114,892,638.5888270587733,0.07053102363562191,31542,335988,37696,19,13,0
52,697,271,1230.1120759068158,0.008867361383283446,61902,196322,28854,57,7,1
1,322,929,429.3968548561985,0.3212538981685402,17008,873321,4430,28,0,0
4,567,65,1149.3995625504715,0.190771861929179,26463,539538,4607,21,11,0
1,39,482,1001.222283785061,0.1993554698484748,63653,46023,4479,49,14,0
50,865,935,712.3220714294691,0.05221794157730675,11543,625638,83817,56,4,0
1,39,247,988.8829364883854,0.07185017314214949,64171,177696,40135,14,10,1
2,858,155,993.3884738953091,0.015534023502232128,29766,540715,69964,38,5,0
4,972,46,587.8119858092115,0.0008656361011053939,23770,426492,70898,9,10,0
4,748,934,1256.414392094326,0.001008754394030048,60328,858075,25476,20,11,1
50,288,453,1148.419636229422,0.08833438344635727,21869,210084,66178,54,11,0
51,261,200,834.9342963882634,0.03038471718756196,61439,134511,21731,61,2,1
2,215,659,910.5802487360609,0.07298430096471216,20301,479064,21114,51,13,0
3,146,123,894.7175800806476,0.0007491128991723805,53171,742691,20012,28,6,0
1,335,0,770.7989544011951,0.05493700397326482,50482,78672,55747,31,1,0
5,167,967,648.863124768819,0.12660899436457512,13436,472919,42854,9,6,0
1,91,758,1164.4391170683155,0.058464028349694344,4115,17300,85196,12,1,0
52,352,854,620.7294092699101,0.13175865671626402,46337,322433,36819,46,4,0
1,570,639,256.38832966111397,0.026529320334016115,36136,410398,37322,22,6,0
3,570,190,992.1600774893102,0.16774063328595237,8096,463723,21310,49,10,0
1,815,578,659.4134926044746,0.04438895889677394,65348,444128,18689,22,10,1
2,680,515,1007.5643434565261,0.023668874899555978,3952,944413,28177,30,13,0
2,780,441,1200.4709743530332,0.02701309659716003,21469,19659,68880,3,2,0
4,362,920,1483.3874452794034,0.04944716610333097,63846,686763,67593,51,13,1
50,556,814,1121.4233905662475,0.1771601571003615,47656,245259,84729,48,10,0
51,344,805,1406.0147320788942,0.05372171396421202,34342,426802,89013,59,3,0
5,692,142,1635.042208174026,0.014940550440639475,64167,10360,9417,2,0,1
52,169,190,1348.7580266814462,0.1008746712286573,60224,807856,39995,20,2,1
1,355,532,1290.1844550570945,0.11064477813737864,51787,622323,66423,52,8,0
1,190,226,1326.4326634539755,0.059436211296481294,2769,503447,8585,1,9,0
3,666,312,1330.631534977826,0.06692357418441129,38071,48791,93303,3,4,0
50,421,628,652.3569454411993,0.02284783409540003,46515,396281,18831,0,14,0
2,699,948,393.7944924504788,0.0985647857367232,55403,724155,85826,14,14,0
5,6,301,634.042344969534,0.04443242031000813,33980,508810,77067,56,7,0
4,132,653,1011.0924847379525,0.5436471237663443,25352,274444,3592,32,1,0
2,746,995,847.7476835996317,0.06542794436606218,15446,557658,93879,5,2,0
52,556,459,738.0557044469459,0.06653094822375598,55108,725191,21396,6,6,0
50,825,400,968.1444196414807,0.0834369299518789,63307,27209,54183,18,13,0
52,760,550,358.75847549801983,0.24859792622560964,48584,501503,16739,43,9,0
51,30,392,842.3507896074624,0.16135368007096595,1161,1019335,2632,62,3,0
4,534,866,1135.537293454363,0.05998937868504367,22362,283071,17906,0,8,0
51,425,763,964.7946933674685,0.12683309540791227,7042,558867,19057,38,13,0
3,393,844,1007.5429465501186,0.08824583046410203,18768,503623,89083,18,6,0
52,671,206,1279.2118369857544,0.06779966293726646,10847,795464,35448,44,13,0
3,362,209,780.1570145379,0.02135841047477755,64326,617542,54419,25,10,0
1,436,114,604.0725015948991,0.06235022135159871,38645,864845,37191,43,11,0
51,669,736,1156.8545127995126,0.02821223391480873,19925,958235,26015,11,0,0
50,550,645,1151.336189310178,0.24632486841282006,45658,1037441,73000,21,3,0
52,926,250,967.4875024267391,0.04085801751399959,13883,637816,50279,12,9,0
5,81,218,751.8886998252656,0.3042069753215484,14739,747562,1781,27,10,0
4,355,406,800.4138953023955,0.07615444225294776,21020,971271,91644,13,5,0
2,257,442,416.968114360674,0.09984350052052565,1096,386060,59259,21,5,0
50,717,602,1133.8839590621608,0.07829415781745412,38670,762580,97124,29,9,0
50,588,353,1684.9430892881146,0.0069275193058819,62520,858734,42193,43,5,1
3,988,887,406.49517485996483,0.0471318443648194,45680,1041371,59301,19,4,0
51,523,557,1060.2896251718407,0.010441220131407043,14124,705314,90505,43,2,0
52,294,549,1381.8457447540538,0.048769410012267554,63714,248342,99130,26,1,1
52,961,141,740.1116503241417,0.02960849041080727,62407,743725,43924,37,2,1
1,223,611,438.19993967825917,0.15050102037746926,29658,872189,89197,58,8,0
1,524,500,912.0479808205167,0.024906472205362646,45279,418318,2396,41,2,0
4,45,839,680.6887658279246,0.017980399861983347,32376,951937,97385,51,2,0
3,666,701,1345.9846551649011,0.05214354274792678,24755,802364,15780,62,0,0
50,112,546,1085.7795183946719,0.26116322244729956,52000,812146,71029,60,1,0
52,232,658,942.1079410196683,0.12393299493894105,31154,57803,29723,55,10,0
5,16,541,956.9237012007184,0.0542873076024237,18345,432959,7112,40,11,0
3,359,845,1199.2601541101503,0.07283022826106168,34242,133624,9985,33,2,0
4,222,506,1053.9554275182013,0.008797148630394106,37657,580915,97553,38,1,0
4,865,595,1424.89489732321,0.2085911911391426,60810,701347,93177,40,7,1
3,699,880,505.921647110747,0.10978345053047817,63980,341954,72329,56,5,0
4,447,280,1500.0,0.033603802675275504,1213,45380,26925,43,6,0
3,855,423,469.04517280753004,0.08814265963178636,54850,160322,52704,36,0,0
2,364,855,706.2371788699506,0.011595237416773537,9002,723704,32578,0,5,0
3,674,269,303.58151707700074,0.33766023974738735,13249,851118,7712,53,1,0
51,325,153,1442.459171446168,0.009605565292785414,63117,502610,85549,14,12,1
3,466,613,1267.9996967781633,0.05221051189660952,64773,382465,99870,31,14,1
4,413,726,1029.582931509428,0.028163964810765985,36428,519339,4097,7,5,0
52,454,661,278.2803106686698,0.1264294035716798,31369,831460,66556,32,2,0
51,585,943,1133.8717002142794,0.1499782784420787,5284,670655,89849,17,6,0
4,232,82,557.7693795591156,0.11190795072251306,61161,899573,75013,44,2,0
1,223,621,755.2984401908404,0.0953212685863501,25855,841680,8255,28,8,0
1,993,946,1079.4713806043194,0.22299769746132633,10716,997709,97956,31,2,0
52,830,898,878.3800052395699,0.008189001647048279,16166,272667,77121,32,6,0
52,411,425,899.5827670000592,0.04018438215585191,58785,307674,5966,4,11,0
51,571,274,1039.7536459716198,0.028540131486564868,63658,783413,77001,17,3,0
2,334,712,1392.955787972426,0.2212006406021946,63290,538057,77976,47,7,1
52,221,283,697.6676292353848,0.0493296460640756,26798,980546,57988,62,13,0
1,36,979,750.0592615294313,0.13190571069917872,47574,112035,32964,57,1,0
3,988,172,863.5636035955469,0.11543105249436947,10585,175717,93977,9,7,0
4,277,326,531.3331719360996,0.023836028768413505,14781,746103,3274,61,8,0
1,195,717,1098.8025978166008,0.027311887278285207,37906,455358,15331,35,12,0
